Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Label
445,81.0,95,156,35512,4915,68,40,290.31,768,19,390.85,23272.49,22273.82,4470.4,1540.43,0,0,0,0,0,0,BENIGN
53,59.0,35,73,30160,80406,727,54,471.03,888,59,66.72,450201.25,37886.92,7042.34,1162.67,1,0,0,0,0,0,BENIGN
443,318.0,147,82,45995,77164,1314,8,82.03,1461,86,305.32,442953.19,1810.87,5674.04,4563.66,0,0,0,0,0,0,BENIGN
22,2.0,143,108,48229,70009,614,54,213.34,281,29,36.83,425400.52,13794.91,1462.95,3281.41,0,0,0,0,0,0,BENIGN
21,367.0,38,11,29465,29728,719,61,420.9,55,89,382.57,241553.79,26256.96,6001.52,58.24,0,0,1,0,1,0,BENIGN
8080,351.0,99,195,43700,68631,361,11,173.99,1318,74,179.51,173724.57,36895.36,8594.45,4119.62,0,0,0,0,0,0,DDoS
443,66.0,94,112,13278,36007,430,30,233.86,1248,65,51.69,815451.23,39878.91,2745.16,618.38,0,0,0,0,1,0,BENIGN
22,2218.0,112,194,46858,62699,434,58,152.7,1307,37,285.27,551857.42,23024.39,2906.27,1060.07,0,0,0,0,1,0,DoS Hulk
8080,15.0,56,94,27260,61598,47,73,74.76,1029,54,352.91,343019.28,20505.99,3121.24,2271.07,0,1,0,1,1,0,BENIGN
445,107.0,36,186,4462,33449,312,29,194.74,1432,55,334.71,439845.7,17511.75,7461.16,3849.58,0,0,0,0,1,0,BENIGN
22,54.0,81,80,26364,57037,267,93,314.14,71,60,485.78,498236.94,47624.84,1670.79,2947.2,0,0,0,0,0,0,BENIGN
8080,270.0,149,83,41878,48497,1003,7,51.84,1248,48,296.26,998098.88,29907.94,166.54,504.82,0,0,0,0,1,0,BENIGN
8080,71.0,18,143,7196,108,478,29,76.79,1007,95,471.04,874672.98,3195.77,7284.9,1123.93,0,0,0,1,1,1,BENIGN
80,1534.0,101,189,29267,95443,435,83,432.76,11,94,326.98,685185.54,14410.14,7030.41,1035.78,0,1,1,0,1,0,PortScan
53,1325.0,38,174,47517,31123,906,96,319.88,633,13,388.83,636790.96,33501.34,9627.02,964.87,0,0,0,0,1,0,DDoS
445,13.0,125,88,49969,81881,1160,41,374.81,1049,73,441.41,208696.34,31617.48,3890.77,491.57,0,0,0,0,1,0,BENIGN
53,167.0,19,156,36086,96990,169,69,139.91,714,10,377.24,917135.52,47970.99,3633.78,3080.1,0,0,0,0,0,0,BENIGN
53,4749.0,108,170,15946,44959,111,9,226.8,1325,80,54.66,7473.85,37428.79,6404.93,2816.47,0,1,0,0,0,0,PortScan
22,13.0,140,155,13005,68437,629,2,348.85,1148,14,433.55,175107.68,33864.63,8867.62,782.24,0,1,0,1,0,0,BENIGN
53,5.0,89,72,6041,96313,1162,98,169.91,1308,50,165.96,413659.42,49622.96,2269.03,3420.23,0,0,0,0,1,0,BENIGN
443,6.0,64,15,44929,31836,1201,39,36.6,1363,63,433.42,188645.03,3075.25,2088.43,2297.01,0,0,0,0,1,0,BENIGN
53,60.0,52,164,10002,96535,1479,94,397.3,1126,70,287.19,830556.19,40128.54,7120.73,3301.31,0,0,0,0,1,0,BENIGN
445,286.0,101,129,46658,92221,261,93,375.85,194,0,316.69,744893.72,13256.73,1538.33,4415.54,1,0,0,0,1,0,DoS Hulk
53,109.0,133,174,8407,63442,750,15,396.49,320,53,465.06,989309.97,43248.62,3672.21,2352.87,0,0,1,0,1,0,BENIGN
22,248.0,23,29,13823,52592,1059,54,388.87,1052,29,152.86,51231.23,40933.96,231.29,311.98,0,0,0,0,1,0,BENIGN
53,38.0,65,97,11041,32605,1407,32,448.45,181,50,0.08,500704.79,25300.43,5396.2,1298.79,0,0,0,0,1,0,BENIGN
80,162.0,128,85,34831,99005,956,57,185.67,323,12,153.38,310797.28,24115.42,7701.09,1017.88,0,0,0,0,1,0,BENIGN
22,70.0,35,125,48847,22091,133,71,144.56,1403,17,422.49,320951.57,41048.96,2237.35,1047.87,0,0,0,1,1,0,BENIGN
80,89.0,74,30,19906,52619,352,89,468.78,688,79,324.48,445137.22,42351.2,5929.42,3355.46,0,0,0,0,0,0,BENIGN
21,3.0,128,171,30090,3980,1092,41,127.94,195,28,190.35,35630.89,43899.04,8773.07,3741.44,1,0,0,0,1,0,BENIGN
21,28.0,35,87,21854,51574,479,21,77.77,1496,33,226.82,697556.29,32378.5,2292.93,1849.82,0,1,0,0,0,0,BENIGN
8080,23.0,144,138,31640,72964,165,53,336.82,1238,90,226.31,578109.34,33383.93,2027.2,497.63,0,0,0,0,1,0,BENIGN
445,1225.0,47,182,28462,27506,1187,64,419.69,851,50,343.37,666549.46,25770.59,9903.29,193.22,0,0,1,0,0,0,DoS GoldenEye
80,10.0,13,54,15002,58977,714,96,323.33,845,72,200.68,411745.3,20654.18,4568.33,3200.42,0,0,0,0,1,0,BENIGN
80,448.0,148,158,2120,20622,201,55,205.09,1447,97,54.38,451495.87,21001.31,4264.85,3927.28,0,1,0,0,1,0,DDoS
8080,211.0,116,8,32212,79637,731,26,447.38,1331,11,172.33,265677.1,2909.93,757.12,4399.18,0,1,0,0,1,0,BENIGN
80,31.0,121,109,17871,22775,340,92,346.62,58,48,473.89,510852.33,17974.79,2144.55,4384.92,0,1,0,0,1,0,BENIGN
80,122.0,56,113,19510,14903,1360,21,239.21,1341,26,54.3,953454.73,9118.11,6537.94,3028.49,0,0,0,0,1,0,BENIGN
445,81.0,123,102,49965,81588,1477,11,434.88,844,66,431.09,757674.94,35146.39,8278.56,1705.3,0,0,1,0,1,0,BENIGN
53,63.0,14,186,33968,83264,832,9,292.06,1411,77,475.02,823073.87,27315.26,8761.4,2312.73,0,0,0,0,1,0,BENIGN
443,2073.0,65,3,16937,19986,994,62,273.92,153,94,383.34,518439.14,36539.09,2462.12,1901.61,0,0,0,0,0,0,DoS GoldenEye
21,82.0,71,86,48967,38130,1096,70,53.38,620,4,168.82,665101.63,46005.94,5953.45,216.59,0,1,0,1,1,0,BENIGN
443,236.0,125,194,32632,99053,558,53,77.11,975,34,368.13,76420.94,9603.45,6017.92,2852.2,0,0,0,0,0,0,BENIGN
8080,40.0,42,44,35625,5373,133,30,343.07,600,33,378.29,870190.73,35985.99,4002.54,2469.89,0,0,0,0,1,0,BENIGN
80,281.0,112,171,47527,34578,1370,64,137.61,1034,40,452.18,199318.35,4624.39,8291.74,3661.59,0,1,0,0,1,0,PortScan
21,175.0,106,186,45255,2159,517,8,81.34,675,58,8.63,830459.8,39968.64,7952.61,4519.02,0,0,0,0,1,0,BENIGN
21,5935.0,22,189,5131,79163,1071,87,416.87,1023,43,35.57,231362.5,21995.41,7840.33,3691.05,0,1,0,0,1,0,PortScan
80,77.0,149,42,5620,41184,649,14,48.72,1465,84,17.6,265537.7,36468.24,5153.16,4907.33,0,0,0,1,1,0,BENIGN
443,2428.0,149,183,24869,96067,67,88,307.76,979,10,245.78,680799.7,2946.56,3504.63,4635.71,0,0,0,1,0,0,DDoS
8080,4509.0,8,49,3318,37981,244,88,438.95,877,61,482.35,737210.56,1407.77,3167.53,3708.98,0,1,0,0,1,0,PortScan
21,4.0,59,34,34920,95284,527,66,474.59,605,39,470.03,882387.01,19505.66,7180.4,3565.51,0,0,0,0,0,0,BENIGN
53,79.0,3,108,21003,16040,971,68,202.7,639,32,375.22,813675.16,13049.72,9972.64,1674.83,0,0,0,0,1,0,BENIGN
80,1356.0,145,158,3013,26902,210,68,337.44,1244,0,439.38,662899.67,9626.52,4389.5,3668.89,1,0,0,0,1,0,DoS Hulk
8080,77.0,45,67,37243,65034,924,5,395.87,996,54,490.66,949077.56,28993.19,1627.77,1441.01,0,0,0,0,0,0,BENIGN
8080,493.0,10,103,40384,13645,1019,12,474.28,603,82,13.22,202860.15,4227.49,5982.6,2277.94,0,0,0,0,0,0,DDoS
21,121.0,142,142,21358,53032,196,44,331.24,131,0,61.39,818525.58,44959.83,8399.91,3176.15,0,0,0,1,0,0,BENIGN
21,173.0,106,87,44998,35505,785,54,78.7,943,47,6.22,600978.37,41349.07,3994.7,3962.37,1,1,1,1,1,0,PortScan
80,37.0,92,161,35811,69592,691,1,405.06,1,81,21.67,467214.96,13766.37,4242.76,4546.11,0,0,0,0,0,0,BENIGN
445,219.0,69,152,43,85154,1441,5,71.95,1446,84,139.0,888118.83,15906.71,4916.31,4441.0,1,0,0,0,1,0,BENIGN
443,152.0,117,145,15250,63814,849,96,233.98,348,35,134.7,273537.35,10728.6,5519.39,4991.64,0,0,0,0,0,0,BENIGN
22,287.0,69,92,35044,92196,382,79,109.37,1199,81,318.05,146682.67,28663.04,8363.09,3098.36,0,0,0,1,1,0,BENIGN
53,62.0,3,7,9152,25205,653,17,75.5,1252,24,209.14,772259.74,26616.29,3612.71,3584.23,0,0,0,0,1,0,BENIGN
53,274.0,103,32,26250,23484,727,95,197.47,432,25,414.18,645675.03,12418.58,1411.8,52.01,0,0,0,0,0,0,DDoS
80,227.0,35,20,46916,78956,377,33,309.09,1043,68,383.52,426905.64,44344.74,5224.89,505.4,0,1,0,0,0,0,BENIGN
80,1785.0,16,93,9567,22918,810,89,30.09,1100,51,77.25,51933.11,3473.24,8781.31,4059.46,1,1,0,0,0,0,PortScan
53,112.0,34,39,26202,62241,170,43,362.42,1372,5,222.49,48477.31,6530.37,3418.87,4961.17,0,0,0,0,0,0,BENIGN
8080,30.0,101,102,14299,84519,120,7,225.48,1284,12,363.91,158369.41,40189.95,7838.49,3881.92,0,0,0,1,1,0,BENIGN
22,1445.0,61,126,15967,2040,414,29,353.8,1233,50,281.92,300931.22,25146.43,3000.56,1308.89,0,0,0,0,1,0,DDoS
21,4.0,149,109,25179,23608,1262,69,278.85,1415,77,495.49,371876.26,36131.21,5750.96,3492.52,0,0,0,1,1,0,BENIGN
445,161.0,20,34,36525,99427,460,63,246.5,1323,28,317.94,826633.27,4777.81,3952.4,4064.87,0,1,0,0,1,0,BENIGN
445,77.0,61,86,7433,31804,861,19,32.02,61,7,76.94,425732.46,1182.5,9690.87,993.66,0,0,0,0,1,0,BENIGN
8080,3579.0,86,83,8684,45800,125,12,37.75,1010,12,148.52,805050.01,25426.4,4908.58,2073.79,0,1,0,0,1,0,PortScan
8080,203.0,91,34,17188,71188,755,70,428.52,513,97,240.19,344067.74,1121.97,2939.8,4387.26,0,0,0,1,0,0,BENIGN
8080,199.0,120,50,4770,39543,1208,65,339.08,915,40,119.6,662386.28,24381.9,3414.8,933.43,0,0,0,0,1,0,DoS GoldenEye
8080,1582.0,126,135,35568,43318,1137,23,437.0,39,53,382.37,851643.53,25042.77,4325.46,3333.5,0,0,0,0,0,0,DoS Hulk
22,50.0,146,141,7827,64567,347,52,216.07,759,46,489.98,897702.45,32419.85,3678.68,2847.87,0,1,0,1,1,0,PortScan
53,5.0,66,147,31692,7935,371,92,298.69,1223,1,312.27,95151.92,20688.52,3908.57,4425.73,0,0,0,1,0,0,BENIGN
53,141.0,108,57,14892,73712,769,88,395.67,737,97,278.17,940616.96,36144.27,6776.69,336.86,0,0,0,1,1,0,BENIGN
53,18.0,86,48,40426,60019,398,96,349.59,1216,12,238.31,24228.92,40342.84,20.7,1436.63,0,0,0,0,1,0,BENIGN
53,3728.0,46,70,33219,67792,846,94,150.63,1438,42,275.41,262665.83,13724.18,2091.93,3800.89,0,0,0,0,1,0,DoS Hulk
21,107.0,51,10,41323,79413,681,7,138.39,203,97,286.59,485694.67,26710.76,6597.36,1441.49,0,0,0,1,0,0,BENIGN
445,1162.0,26,198,8594,98910,1117,49,468.08,1006,8,414.93,445685.25,22329.44,2462.37,1898.69,0,1,1,0,1,1,PortScan
22,393.0,49,1,4136,77393,320,37,464.9,459,25,262.0,625818.7,9010.15,4216.02,1433.22,0,0,0,0,1,0,DoS Hulk
21,968.0,107,83,20793,15465,1431,25,306.94,1422,44,237.53,791873.29,696.62,28.06,4650.08,0,0,0,1,1,0,DoS Hulk
445,28.0,57,170,16249,43323,804,44,351.34,324,50,303.62,395505.64,23720.97,4493.35,2980.02,0,0,0,1,1,0,BENIGN
445,1523.0,65,14,13580,24918,321,85,56.44,728,56,196.13,951976.29,42273.59,9188.84,4637.52,0,0,0,0,1,0,DDoS
445,39.0,97,144,36979,96832,674,50,290.3,354,78,191.65,546073.85,20237.17,5934.12,3211.32,0,0,0,1,1,0,BENIGN
445,354.0,149,27,35898,38999,1396,73,45.03,698,48,348.29,789963.08,44084.24,915.55,4593.32,0,0,0,0,0,0,BENIGN
445,90.0,79,15,8796,87843,77,42,434.13,326,47,235.33,91621.66,41709.09,7951.77,4652.63,0,0,0,0,0,0,BENIGN
53,191.0,110,12,32853,30453,632,67,329.64,765,3,353.39,536431.81,21944.3,3936.08,248.36,0,0,0,1,0,0,BENIGN
53,261.0,36,104,38557,99418,410,52,131.17,744,31,44.1,313332.21,10573.69,4120.33,1121.47,0,0,0,0,0,0,BENIGN
22,93.0,139,100,32221,98052,881,24,39.37,1361,11,262.13,55088.02,26821.53,1997.13,4184.98,0,0,0,1,1,0,BENIGN
22,168.0,146,59,21078,24236,1473,90,492.22,435,42,310.19,388525.17,12181.02,7424.15,4252.27,0,0,0,0,1,0,BENIGN
443,784.0,123,136,25871,18053,712,30,243.86,583,96,365.05,681960.71,43226.96,9319.42,1553.17,0,1,0,0,0,0,PortScan
53,109.0,44,101,41676,31296,1435,39,66.56,1439,35,142.9,391355.68,28097.15,1011.42,1818.62,0,0,0,0,0,0,BENIGN
53,68.0,81,76,37610,76139,1381,34,320.13,189,4,181.68,598107.78,28003.19,1046.3,1679.0,0,0,0,1,1,0,BENIGN
445,2984.0,144,127,39422,16076,530,56,430.05,1164,7,150.09,931755.75,2350.51,5599.21,3153.96,1,0,0,1,1,0,DoS Hulk
22,324.0,33,8,35243,14619,311,62,259.15,395,39,298.49,644731.36,46769.91,8457.3,1820.75,1,0,0,1,0,0,BENIGN
445,64.0,32,118,6621,18169,547,29,226.12,808,6,174.05,584165.84,12833.72,6283.23,2009.61,0,0,0,0,1,0,BENIGN
21,177.0,124,80,21546,48895,732,56,381.56,1414,21,312.03,103071.07,21244.04,2395.95,187.42,0,1,0,0,1,0,BENIGN
21,201.0,108,0,6505,36513,370,53,75.76,1260,85,420.81,950903.46,34317.17,988.48,3743.3,1,0,0,0,1,0,BENIGN
21,15.0,95,124,17276,81604,809,87,44.6,236,33,242.61,825594.74,9380.7,7084.58,4057.83,0,0,0,0,0,1,BENIGN
443,209.0,65,183,14895,69897,986,51,481.3,1278,43,275.98,954073.82,38741.04,5949.66,1481.21,0,0,0,1,1,0,BENIGN
443,28.0,145,50,42163,45820,714,64,74.9,328,99,442.96,294998.3,12185.36,3838.43,54.59,0,0,0,0,1,0,BENIGN
21,102.0,81,165,31507,24872,484,84,311.04,111,89,240.73,955773.08,30901.76,5973.57,2526.79,0,1,0,1,1,0,BENIGN
443,83.0,149,38,20757,41378,1313,59,109.93,647,36,335.97,28623.14,717.9,894.78,147.51,1,1,0,0,1,0,BENIGN
8080,21.0,139,60,12880,53646,253,91,96.26,188,54,47.05,174266.42,48883.89,125.55,929.24,0,0,0,1,0,0,BENIGN
445,2.0,17,152,47636,237,433,67,220.42,1236,60,394.03,620987.07,8605.69,4876.28,4431.18,0,0,0,1,1,0,BENIGN
80,482.0,71,199,8663,64933,335,97,183.28,801,16,230.52,3645.46,30592.53,8640.18,3724.63,0,0,0,1,1,0,DoS Hulk
21,26.0,84,129,7218,36413,109,96,423.4,1483,70,240.25,13650.09,41432.36,3050.95,5.77,0,0,0,0,1,0,BENIGN
443,2447.0,45,119,45518,66226,1029,23,342.86,603,22,16.81,901995.01,36208.57,4452.81,3976.24,0,0,0,0,1,0,DoS Hulk
53,333.0,80,81,31411,78812,1475,78,48.9,1274,73,348.23,599655.0,29003.91,5137.63,186.59,0,0,0,1,0,0,BENIGN
443,95.0,36,173,19439,30574,41,96,162.47,570,19,369.66,497150.92,34082.06,8852.32,1780.59,0,0,0,0,0,0,BENIGN
80,113.0,111,87,38142,98160,937,77,163.79,824,67,72.4,338337.93,1974.19,149.71,3285.58,0,0,0,0,1,0,BENIGN
443,66.0,49,121,6621,51367,158,57,479.05,1413,14,214.92,736292.13,16260.01,6145.2,1662.41,1,0,0,0,0,0,BENIGN
445,65.0,91,0,47232,57551,1352,12,99.85,321,68,361.43,865069.03,39069.99,9172.81,1791.78,0,0,0,0,1,0,BENIGN
80,75.0,144,161,23305,29318,293,32,384.06,770,53,42.67,54908.2,4106.86,1593.22,3098.72,0,0,0,0,0,0,BENIGN
8080,1.0,112,14,13474,96343,849,17,346.92,288,51,370.88,545546.52,41854.06,9278.63,4455.34,0,0,0,0,0,0,BENIGN
21,606.0,132,185,9061,1531,861,10,123.74,388,46,199.41,816658.39,3970.09,7461.46,2836.93,0,1,0,0,0,0,PortScan
21,76.0,56,124,15609,61785,785,12,321.97,1262,4,266.07,970161.69,39065.91,4827.6,4646.11,0,0,0,0,1,0,BENIGN
445,234.0,21,29,49262,51088,500,49,392.79,1297,15,178.28,350001.18,301.09,3424.38,4534.72,0,0,0,0,1,0,BENIGN
445,67.0,47,2,22169,56374,1117,50,346.82,662,63,401.64,945148.16,17922.32,954.76,4863.58,0,1,0,0,1,0,BENIGN
443,70.0,14,39,9809,21823,373,59,213.85,1104,73,368.31,680333.72,48362.08,6373.51,3954.24,0,0,0,0,1,1,BENIGN
8080,235.0,85,184,11637,57921,100,14,84.04,608,25,76.29,424812.12,20470.97,8910.34,1891.99,0,0,0,1,0,0,BENIGN
53,373.0,117,84,28351,56232,325,25,317.6,1221,76,429.24,767867.31,36415.17,4299.21,74.44,0,0,0,1,1,0,BENIGN
443,52.0,19,162,29014,65966,789,47,251.36,64,38,137.29,619346.85,20506.59,8782.67,4412.08,0,0,0,0,1,0,BENIGN
8080,41.0,79,9,44351,67367,1481,17,366.41,956,32,342.19,452966.16,19914.56,2845.26,1245.89,0,0,1,1,1,0,BENIGN
21,827.0,20,49,49610,15066,175,21,204.44,36,69,154.79,665863.94,17490.71,3100.1,3030.14,0,0,0,0,1,0,DoS Hulk
8080,56.0,3,85,13486,7322,994,87,463.42,579,60,56.04,969669.39,13071.56,2226.0,4229.66,0,1,0,1,0,0,BENIGN
53,18.0,110,163,7233,71667,1265,90,398.89,1392,76,143.88,211396.58,47933.49,6071.84,2815.78,0,0,0,1,0,0,BENIGN
22,109.0,109,169,13424,7845,428,38,180.89,298,15,478.44,610442.29,41432.0,6074.29,2661.22,0,0,0,0,0,0,BENIGN
445,335.0,54,123,47299,75772,861,79,479.8,428,56,145.82,338413.01,77.21,1256.02,202.63,0,0,0,1,0,0,BENIGN
443,186.0,143,56,7034,36534,963,12,174.19,520,6,10.01,477561.03,47471.11,2569.19,1684.12,0,0,0,0,0,0,BENIGN
443,123.0,96,143,18188,43983,1487,19,250.04,1072,57,292.01,161209.54,28709.83,7694.49,1620.36,0,0,0,0,0,0,BENIGN
443,176.0,79,90,22376,93344,1292,83,482.23,620,28,458.36,19571.86,23949.27,7983.62,1277.67,0,0,0,1,0,0,DoS GoldenEye
443,177.0,11,105,37136,73160,1011,16,361.08,1393,50,172.76,82649.04,12589.31,5829.32,388.88,0,0,0,0,1,0,BENIGN
22,29.0,44,157,39617,31647,1009,32,484.48,931,5,305.94,798908.0,15293.93,373.62,2930.67,0,0,0,0,1,0,BENIGN
53,59.0,34,11,20734,47573,628,82,388.02,497,15,200.28,293096.56,20816.76,5651.22,1796.1,0,0,0,0,0,0,BENIGN
445,1323.0,118,191,10319,38282,1371,51,102.29,516,86,491.41,543742.71,49492.44,2002.41,4400.86,0,1,0,0,1,0,PortScan
22,313.0,27,74,43328,9213,194,54,445.31,928,73,110.13,495498.31,10570.27,3844.75,4464.03,1,1,0,0,1,1,DoS Hulk
443,154.0,50,32,33434,17776,313,21,412.77,310,32,385.43,27049.77,20434.7,3151.74,4747.85,0,0,0,0,0,0,BENIGN
53,17.0,27,70,26268,67403,1448,74,429.94,1442,2,436.9,981652.58,38556.69,8049.78,216.58,0,0,0,0,0,0,BENIGN
53,66.0,70,161,24910,84069,435,85,239.38,1191,38,187.58,529805.79,24323.03,4602.07,4514.87,0,0,0,0,0,0,BENIGN
22,1795.0,82,111,8691,2074,928,78,221.41,1300,55,151.44,350282.75,10612.74,1424.69,239.24,0,1,0,0,1,0,DoS Hulk
8080,104.0,15,175,5711,82457,133,28,36.9,1143,70,307.24,248378.84,45322.01,2151.72,4407.33,1,0,0,0,0,0,BENIGN
443,31.0,8,141,25983,4108,307,68,384.97,826,43,122.28,920693.61,43122.54,1054.69,4502.72,1,1,0,0,1,0,BENIGN
8080,37.0,122,75,27125,69344,1086,65,336.09,887,42,94.76,215844.52,10884.85,5621.13,4421.63,0,0,0,1,1,0,DoS Hulk
445,12.0,79,132,966,50647,497,89,354.19,136,67,233.15,568710.08,17008.3,982.66,2896.81,0,0,0,1,0,0,BENIGN
53,117.0,18,12,544,17784,1465,18,323.6,1071,86,210.35,498819.99,15264.36,8256.84,1265.45,0,1,0,0,1,0,BENIGN
443,6.0,135,145,6613,94355,1369,92,468.52,678,95,198.72,451670.04,39180.2,8577.92,4780.7,0,0,0,1,0,0,BENIGN
8080,145.0,22,195,47356,22920,879,28,490.74,257,74,134.37,765373.76,16607.46,4604.12,687.47,0,0,0,1,1,0,BENIGN
80,136.0,18,103,33944,83797,1443,47,257.45,603,38,289.0,450916.19,19355.05,7043.68,2697.42,0,0,0,0,0,0,BENIGN
8080,314.0,47,75,23299,66130,1039,87,486.76,517,12,414.66,137634.28,37679.56,7261.19,1325.35,0,0,0,1,1,0,BENIGN
53,3723.0,50,141,36580,20856,225,78,255.74,474,67,229.16,760959.52,31133.79,9458.17,2482.72,0,0,0,0,1,1,DDoS
8080,66.0,87,153,46164,91431,1051,64,37.22,1014,63,342.03,118888.45,36352.76,4779.86,2666.36,0,0,0,1,0,0,BENIGN
8080,1.0,30,162,30934,99776,319,98,373.5,1376,51,33.55,761386.44,44489.42,1243.72,1534.25,0,1,0,1,0,0,BENIGN
443,8.0,96,68,13446,30737,295,32,467.84,1212,66,389.59,97892.53,42320.14,8684.3,2034.82,0,0,0,0,1,0,BENIGN
