dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,attack_cat,label
2.024,tcp,dns,FIN,83,208,34203,21270,2382.46,128,29,368873.3,1054684.7,2,4,Normal,0
7.084,tcp,dns,CON,122,224,35060,20275,3059.43,254,252,732817.2,19132.4,12,13,Exploits,1
1.174,tcp,ssh,FIN,11,153,33750,223226,1904.91,64,32,919543.4,301813.1,9,10,Normal,0
26.683,tcp,http,CON,8,291,86988,186758,234.35,31,29,597655.8,1729090.1,14,0,Analysis,1
26.036,tcp,ssh,FIN,138,17,75269,13261,1084.35,31,0,739782.3,1865843.7,2,9,DoS,1
4.373,tcp,http,FIN,127,338,64716,112940,1103.58,31,252,150243.9,1162985.8,7,6,Normal,0
2.391,tcp,http,FIN,248,314,31578,3161,3118.53,255,29,223268.0,489015.2,14,4,Normal,0
14.246,tcp,dns,INT,68,324,22166,212808,1563.93,254,0,57687.5,1330923.2,8,9,Exploits,1
8.698,udp,dns,FIN,291,168,64061,26098,2086.02,254,32,740764.7,1101612.9,3,0,Generic,1
1.343,udp,http,INT,188,42,35697,79393,4400.16,31,0,164721.9,456344.0,7,5,Generic,1
8.112,tcp,smtp,CON,276,85,35825,169065,3167.56,128,60,431474.2,1474561.7,1,16,Normal,0
2.643,tcp,http,FIN,89,307,82294,35892,1301.98,254,60,152896.2,1940521.7,6,2,Fuzzers,1
1.388,tcp,http,INT,65,329,44267,207147,4218.35,254,32,909414.9,28266.5,3,8,Generic,1
8.131,tcp,http,INT,224,126,87752,141430,1154.1,31,60,370947.5,1281716.0,1,2,Normal,0
1.836,tcp,dns,CON,1,333,112116,62847,4217.68,64,0,152041.1,1530910.7,9,3,Normal,0
6.995,udp,http,FIN,98,120,42702,191479,3033.52,255,252,356280.6,199268.6,5,14,Normal,0
19.568,tcp,dns,FIN,271,84,64516,87119,2322.08,128,252,389187.1,898805.6,11,1,Exploits,1
4.532,udp,ssh,FIN,62,191,67215,62614,4235.69,31,29,381428.7,175004.5,8,16,Normal,0
2.975,tcp,ssh,FIN,134,82,26070,229105,3463.27,254,252,633503.0,548866.1,10,19,Exploits,1
8.202,udp,ssh,CON,11,281,90258,38193,4676.34,128,252,463150.2,537657.5,13,15,Normal,0
5.612,tcp,http,REQ,27,61,85282,225773,1412.94,31,0,820330.7,219316.1,5,9,Generic,1
1.019,tcp,http,INT,48,160,35692,56035,4793.87,254,252,282452.5,1306158.5,4,1,Normal,0
10.869,udp,dns,INT,143,57,68128,159545,2620.28,64,0,699865.2,1873888.9,3,4,Exploits,1
9.769,udp,-,FIN,61,115,106617,19585,1929.64,255,32,689374.3,531820.7,7,1,Normal,0
26.692,tcp,http,INT,82,97,52453,25967,148.79,64,0,236458.1,153546.0,7,1,Normal,0
4.237,tcp,dns,CON,45,174,59990,115421,4001.59,128,29,256034.2,831480.8,3,11,Normal,0
29.52,tcp,-,FIN,168,80,119045,121170,1620.36,255,252,49425.2,1093961.0,5,11,Generic,1
3.303,tcp,ssh,REQ,293,79,103816,127452,1854.9,64,0,124271.9,1966007.0,12,4,DoS,1
9.174,udp,dns,CON,95,317,79323,21995,1339.73,128,60,145778.1,91594.7,4,14,Generic,1
3.586,tcp,dns,FIN,92,188,43254,191021,3662.52,255,32,998588.6,197752.8,9,17,Generic,1
0.487,tcp,dns,REQ,43,287,81554,95807,3870.1,255,0,745040.3,50072.1,9,7,DoS,1
0.821,tcp,http,INT,172,335,41756,176061,3511.68,128,32,388467.8,1717948.5,5,19,Normal,0
2.174,tcp,smtp,FIN,49,55,66937,207478,6.26,128,29,876615.0,1664682.5,1,11,Normal,0
21.833,arp,http,REQ,19,202,37455,29885,1569.56,128,60,68184.1,142831.8,13,18,Normal,0
5.262,udp,http,FIN,292,85,105880,104637,3053.79,254,0,782343.9,1552997.3,0,13,Generic,1
0.723,tcp,-,CON,154,226,103323,47369,2943.82,128,60,567404.9,1317430.9,10,19,Normal,0
1.063,tcp,smtp,FIN,181,300,84016,124314,2621.26,31,29,61490.6,35828.2,1,10,Normal,0
17.778,tcp,http,REQ,257,67,92753,20010,3291.8,255,0,541121.3,306775.4,12,9,Normal,0
1.121,tcp,dns,REQ,239,86,117184,174245,1656.42,31,60,372705.1,88271.7,14,9,Exploits,1
0.437,tcp,http,INT,69,50,109208,220059,492.44,31,0,998238.9,1835818.2,8,10,Exploits,1
12.079,tcp,dns,FIN,161,7,117008,205525,4638.96,31,252,891540.3,487369.3,14,2,Normal,0
2.69,tcp,http,FIN,1,269,51507,15034,1836.75,31,252,514802.2,1584602.8,4,6,Normal,0
12.541,udp,http,FIN,152,68,15223,75436,2697.46,255,32,806147.7,744325.8,3,15,Normal,0
3.834,tcp,ftp-data,FIN,277,142,111346,135846,3853.09,31,252,335741.4,1840161.4,4,4,Generic,1
11.382,tcp,dns,FIN,137,108,116685,128609,1580.88,31,60,819187.2,194228.2,1,10,Normal,0
11.163,tcp,http,FIN,39,252,95579,130222,2630.91,128,29,54223.2,476733.2,5,4,Generic,1
2.947,tcp,smtp,REQ,257,212,90828,19135,156.51,31,32,468229.6,983674.1,9,18,DoS,1
23.227,tcp,dns,FIN,108,65,44860,169430,2693.87,254,0,385888.3,207547.4,7,7,DoS,1
10.948,tcp,-,INT,265,185,9753,63890,656.04,254,29,928030.2,1383148.0,1,3,Reconnaissance,1
18.363,unas,http,FIN,51,213,110438,116774,1570.96,255,60,369155.5,1729528.7,2,8,Normal,0
12.454,tcp,dns,CON,146,57,70474,69216,3255.62,64,29,691476.8,1209237.2,3,16,Normal,0
15.356,tcp,dns,REQ,99,280,60713,187025,1521.31,255,252,96780.5,774471.9,10,12,Normal,0
2.753,udp,http,FIN,155,295,25860,87446,127.92,255,32,716441.0,543041.4,8,7,Normal,0
17.718,tcp,dns,FIN,42,285,109969,126043,2747.2,254,0,499464.8,754314.1,5,18,DoS,1
2.542,udp,dns,FIN,284,48,91606,226639,1462.83,64,60,26076.2,302837.4,0,3,Generic,1
25.997,tcp,dns,FIN,32,254,84620,33136,1416.7,64,252,732272.7,1167737.5,3,12,Normal,0
12.131,tcp,dns,CON,121,308,24155,85215,2266.98,128,29,480887.5,1648814.2,8,14,Fuzzers,1
2.355,tcp,smtp,FIN,85,253,66551,139319,658.67,255,32,981820.9,1953287.6,1,15,DoS,1
5.739,udp,-,FIN,126,239,89644,219964,2076.22,254,29,29066.4,374909.2,3,6,Normal,0
6.373,tcp,dns,CON,161,286,65623,203278,4998.25,255,32,863461.3,610025.8,6,5,Generic,1
12.367,udp,http,INT,111,54,76722,69106,890.86,255,32,612038.7,235613.3,8,7,Normal,0
7.251,tcp,smtp,CON,20,293,82841,120964,1415.8,254,60,131381.9,174850.6,11,14,Generic,1
2.712,tcp,smtp,CON,150,342,63134,213147,2231.65,255,252,892725.0,480808.2,7,19,Normal,0
7.097,tcp,dns,REQ,173,115,103724,75832,1654.46,128,60,186937.4,799015.8,5,5,Exploits,1
14.949,tcp,dns,FIN,171,52,42710,5194,2448.91,254,32,509117.4,433206.9,1,17,Fuzzers,1
26.835,tcp,http,RST,116,319,43738,195255,4070.09,64,252,502681.1,1421810.8,12,7,Generic,1
4.619,tcp,smtp,FIN,97,100,69001,46596,312.65,128,32,212713.0,1245921.8,0,4,Normal,0
3.028,tcp,http,FIN,81,328,84730,124872,4927.91,31,252,874322.2,358600.6,0,14,Normal,0
10.83,udp,smtp,FIN,113,175,39985,83909,4768.94,128,0,805759.0,1620481.0,0,8,Normal,0
4.666,udp,dns,FIN,27,146,33686,153681,4164.28,64,60,781359.5,939784.8,7,14,Generic,1
1.793,tcp,ftp-data,FIN,101,294,77069,216939,1416.24,255,252,165141.4,39730.5,2,0,Normal,0
14.844,tcp,http,CON,18,107,51738,78701,4592.94,128,252,601796.3,1896057.2,7,14,DoS,1
27.633,tcp,dns,INT,117,331,14479,44203,3019.21,254,252,989903.7,650306.0,8,4,Normal,0
5.839,unas,smtp,INT,221,317,19661,2462,3406.74,128,32,425553.2,1465785.9,1,12,Normal,0
0.149,tcp,dns,FIN,120,67,73525,213216,4632.56,254,60,5616.3,1121883.3,10,7,Exploits,1
5.467,udp,dns,FIN,114,263,73269,31130,4002.82,254,32,974421.6,171791.4,14,5,Normal,0
8.065,tcp,http,FIN,153,83,60168,235599,4007.24,128,0,137143.3,514132.9,5,5,Reconnaissance,1
0.408,tcp,dns,FIN,56,32,101508,162013,3747.21,64,0,779372.8,528906.2,1,11,Exploits,1
2.867,udp,http,INT,134,273,67744,27033,4439.51,31,60,932563.3,546764.9,12,6,Generic,1
2.653,tcp,http,CON,50,212,23130,24007,1457.09,255,252,137455.7,1202716.6,14,6,Normal,0
7.444,tcp,dns,CON,86,280,92706,225870,1530.17,31,32,262676.6,1033624.1,0,6,Normal,0
4.332,udp,http,REQ,71,166,49774,16570,3121.34,255,0,652827.7,754879.2,0,7,Fuzzers,1
0.533,tcp,dns,CON,259,51,112571,50226,2032.88,255,0,3122.7,1848832.6,10,0,Fuzzers,1
31.163,udp,dns,CON,100,84,88106,130151,2268.35,128,32,262935.1,1068125.0,2,3,Normal,0
12.782,tcp,dns,FIN,32,22,38567,167698,157.74,128,32,925243.1,1901044.4,2,15,Normal,0
6.627,udp,http,CON,129,201,19003,67401,3277.62,31,252,718504.2,431900.2,5,3,Normal,0
17.322,tcp,smtp,FIN,221,86,73394,235778,534.09,255,60,474440.4,1169329.2,9,3,Normal,0
6.025,tcp,http,FIN,9,210,97018,130260,235.58,255,29,535821.1,458423.9,14,7,Normal,0
2.41,tcp,-,FIN,20,136,84784,236313,3182.43,255,60,532538.5,175437.1,2,1,Normal,0
2.936,tcp,ssh,INT,227,153,53919,112279,799.18,64,252,900537.1,958510.5,4,12,Normal,0
25.225,tcp,-,FIN,4,306,43328,55136,1550.02,128,0,490677.0,496891.0,11,7,Generic,1
15.564,udp,dns,FIN,185,297,75271,125631,3349.4,128,29,989086.1,414492.3,0,12,Exploits,1
0.116,tcp,dns,FIN,175,284,57339,68219,4200.48,31,252,496396.0,1884672.3,0,9,Normal,0
9.753,tcp,smtp,CON,266,33,6491,90185,4310.82,64,29,370509.8,665921.0,11,12,Normal,0
4.567,udp,smtp,FIN,89,35,23714,241747,2000.13,31,252,471378.1,1565343.9,1,6,Normal,0
20.028,udp,smtp,FIN,146,142,59058,7052,4658.49,64,0,605960.1,558764.1,11,1,Normal,0
13.531,tcp,-,CON,86,231,99438,187373,132.7,255,0,40250.0,805418.1,14,13,Generic,1
4.291,tcp,http,INT,53,162,100035,150858,1219.58,254,32,834730.6,651622.5,2,16,Generic,1
23.13,udp,http,CON,101,224,89122,129421,1828.07,128,60,226496.9,1685825.3,13,0,Exploits,1
24.171,tcp,smtp,INT,122,64,75724,207258,4561.3,128,60,429013.2,1851004.2,9,5,Exploits,1
1.364,tcp,http,CON,192,130,98857,172110,3862.68,31,60,436455.1,603503.0,13,4,Generic,1
10.443,unas,http,FIN,116,315,36482,94076,3455.73,254,60,39272.8,1778780.3,11,12,Normal,0
24.52,ospf,dns,CON,299,71,65398,87334,1132.71,254,0,160509.3,445516.6,0,6,Normal,0
25.638,udp,-,FIN,18,255,91170,18154,3685.76,254,252,195995.2,167077.7,2,5,Exploits,1
8.115,tcp,dns,FIN,172,40,107205,194405,1383.39,31,29,285888.2,1997064.8,9,15,Normal,0
3.233,tcp,http,FIN,35,231,7669,75760,878.24,254,29,437300.1,1532494.1,13,16,Normal,0
13.202,udp,smtp,CON,45,83,41700,222178,2235.36,31,29,440924.4,1271178.3,12,16,Normal,0
3.497,tcp,ssh,CON,232,281,72688,158040,2343.64,64,60,283886.1,1877089.3,8,2,Normal,0
0.138,tcp,dns,INT,159,328,21259,160671,2639.09,128,60,722960.9,1429322.1,1,14,Generic,1
9.849,tcp,-,CON,256,19,46169,65813,2126.57,31,60,84512.5,1532514.2,4,10,Exploits,1
2.328,tcp,-,REQ,170,135,58609,153211,4574.47,31,0,817418.5,1151219.1,13,15,Normal,0
1.404,tcp,-,FIN,89,188,39011,182173,1609.8,128,0,738733.6,11363.5,4,17,Normal,0
6.493,tcp,smtp,FIN,76,207,34800,157448,2440.97,254,29,603587.0,1122276.7,8,3,Exploits,1
1.123,tcp,http,FIN,261,1,62706,52752,151.93,31,60,697840.0,807757.7,12,2,Normal,0
0.252,tcp,http,FIN,191,349,86814,153411,1080.01,128,29,220.3,892126.5,1,13,DoS,1
5.655,udp,smtp,CON,20,72,51246,140637,2445.41,255,29,192599.3,662484.8,3,12,Generic,1
2.12,tcp,http,FIN,69,80,66492,143174,4796.13,31,29,898608.2,22377.1,2,4,Generic,1
2.516,tcp,http,FIN,256,29,36361,190056,1460.24,255,0,88006.4,1111747.5,6,12,Generic,1
6.751,tcp,http,FIN,199,347,105133,229838,2154.85,31,32,441848.3,1688442.8,6,1,Generic,1
5.025,tcp,smtp,FIN,228,280,42498,67761,3017.89,254,0,855938.8,1319178.8,7,18,Normal,0
0.289,udp,http,CON,6,288,98406,132328,2481.85,128,0,955045.7,674338.0,6,3,Generic,1
20.36,tcp,http,INT,184,73,19945,161429,4139.31,254,0,410984.8,1342320.1,0,4,Normal,0
14.017,tcp,http,RST,95,156,24396,1042,2468.2,128,32,495445.0,851989.1,5,14,Normal,0
4.869,tcp,dns,FIN,92,50,113363,249186,2419.2,128,29,26071.7,1986036.3,9,12,Normal,0
2.146,tcp,-,REQ,162,227,10294,220011,137.76,64,29,114234.7,1529460.2,3,1,Generic,1
2.146,tcp,smtp,FIN,254,24,112952,25277,3849.33,64,60,244767.4,1941783.8,6,2,Normal,0
2.692,udp,dns,INT,268,242,18440,228465,818.54,128,60,260522.9,1267589.9,2,9,Normal,0
2.637,udp,dns,CON,191,201,119572,49351,2265.03,255,252,964150.8,201762.7,13,13,Normal,0
0.66,tcp,smtp,CON,28,292,23776,31823,432.89,64,60,784243.3,1133093.6,1,3,Generic,1
2.749,tcp,http,FIN,260,50,28044,63603,1734.8,31,252,718334.3,84950.1,14,11,Normal,0
9.869,udp,http,INT,113,218,46778,148123,992.31,128,252,440045.8,239861.7,6,9,Generic,1
25.044,udp,ssh,FIN,47,143,98016,160030,2025.55,31,29,895459.4,1091751.1,3,15,Generic,1
0.099,udp,http,REQ,142,207,26080,52213,860.55,31,60,751215.8,1603316.0,14,1,Exploits,1
0.514,tcp,dns,INT,108,91,43419,63613,3076.3,64,29,393220.8,1121283.9,12,12,Normal,0
0.701,tcp,dns,FIN,143,259,49297,135025,4630.62,64,0,64262.0,510785.1,7,10,Normal,0
13.994,udp,dns,FIN,103,333,63931,113917,1723.02,31,32,863229.2,932033.2,13,2,Normal,0
4.07,unas,dns,FIN,135,185,40774,211864,2582.78,254,29,657749.3,268644.8,8,19,Exploits,1
4.27,udp,dns,INT,73,311,13256,41826,753.66,64,60,44382.7,1596685.9,12,1,Normal,0
28.805,udp,smtp,CON,153,218,23686,117517,3434.9,254,60,702661.9,786962.3,3,2,Normal,0
1.308,udp,dns,FIN,296,197,13560,148960,3150.49,128,60,113724.0,1110217.4,7,17,Generic,1
8.108,tcp,http,FIN,58,90,57711,58037,2911.8,31,29,717848.4,1367232.7,3,8,Generic,1
1.958,tcp,dns,FIN,210,299,104119,169571,3347.04,255,252,425269.8,1506105.3,9,18,Normal,0
3.606,udp,http,REQ,43,16,51005,238790,2250.24,255,60,694848.5,1226854.5,5,9,Normal,0
7.306,unas,smtp,FIN,156,118,97498,91782,1351.12,31,32,325486.7,421920.2,14,18,Fuzzers,1
5.162,tcp,-,FIN,152,17,50235,114966,2448.79,128,29,568365.8,1446537.3,10,14,Normal,0
5.947,tcp,dns,FIN,35,52,63719,77589,4871.6,255,60,239225.2,1864029.0,1,8,Normal,0
20.869,tcp,http,FIN,87,311,76659,36768,1275.78,255,60,273085.9,80023.3,6,17,Normal,0
20.202,ospf,smtp,FIN,99,316,49387,178331,1240.98,255,0,517231.6,753549.8,6,0,Normal,0
9.643,unas,http,FIN,238,125,3061,162957,2594.11,254,60,114111.0,1264882.6,2,0,Generic,1
14.311,udp,dns,FIN,179,127,115807,203085,4602.75,254,32,628451.4,828700.9,1,8,Normal,0
1.633,udp,http,INT,79,68,5593,147351,825.22,128,29,358214.6,540109.4,0,2,Normal,0
6.897,tcp,dns,FIN,106,106,165,233279,3212.84,128,60,60577.1,1701199.3,4,8,Normal,0
4.067,udp,smtp,FIN,163,5,22210,67660,4003.85,255,0,411500.8,1106494.9,1,17,Normal,0
4.355,unas,ftp-data,CON,208,1,37313,48122,4817.15,254,0,663276.9,1791992.7,11,3,Reconnaissance,1
8.387,udp,http,INT,209,349,8624,204324,1178.7,255,29,90209.3,1427176.5,12,12,Generic,1
1.468,udp,dns,CON,243,208,72247,70046,941.65,31,60,176270.8,1110398.6,13,6,Normal,0
36.691,udp,http,FIN,280,125,10093,122228,1885.18,128,0,426489.0,818123.8,14,15,Normal,0
31.866,tcp,dns,FIN,29,126,27203,243292,3850.25,64,0,883426.5,1156705.4,7,17,Normal,0
38.474,udp,dns,REQ,226,224,7919,239474,1429.6,255,0,114196.1,4705.5,14,7,Normal,0
12.796,tcp,dns,CON,88,265,32988,244596,4658.5,254,0,182809.3,635684.9,9,19,Fuzzers,1
44.143,udp,dns,FIN,186,120,81173,70533,3822.59,254,32,516413.8,931193.9,10,13,Normal,0
10.283,tcp,ftp-data,FIN,265,122,93217,113449,1037.92,254,252,984618.6,1070704.3,9,11,Normal,0
12.913,tcp,-,RST,208,10,108824,221454,2238.7,255,60,25455.9,1129264.1,4,11,Normal,0
3.697,udp,http,CON,170,152,11912,83492,4094.31,254,29,485708.2,413669.7,11,14,Fuzzers,1
0.442,udp,http,FIN,84,22,1283,19256,888.51,254,32,782833.3,1048499.6,13,15,Normal,0
11.013,unas,http,FIN,119,214,24982,118682,1917.93,255,29,368941.0,10697.9,1,15,Normal,0
8.933,tcp,dns,FIN,81,60,115833,23872,1825.98,255,32,395771.2,142728.4,10,12,Normal,0
1.656,arp,dns,CON,24,203,104013,223241,503.1,255,252,50422.4,1097673.0,11,14,Normal,0
11.389,tcp,dns,CON,143,152,41797,182326,3899.83,64,252,631472.6,1316701.7,5,9,Normal,0
5.729,tcp,-,REQ,87,320,81970,121822,3886.25,64,32,856009.6,1684007.9,4,13,Exploits,1
26.897,tcp,ssh,INT,160,107,22636,9740,2257.61,254,0,827892.0,1334583.6,7,17,Normal,0
5.652,tcp,smtp,INT,14,145,60588,160459,3168.21,254,29,33858.4,97628.5,10,14,Generic,1
